Timestamp,BPM,RRIntervals
1779182853937,87,"[672,680,680,680,680,680,680,680,680,672,672,665,658,658,643,636,623,623,623,623]"
1779182853440,86,"[680,680,680,680,680,680,680,680,672,672,665,658,658,643,636,623,623,623,623,623]"
1779182852940,86,"[680,680,680,680,680,680,680,672,672,665,658,658,643,636,623,623,623,623,623,616]"
1779182852441,86,"[680,680,680,680,680,680,672,672,665,658,658,643,636,623,623,623,623,623,616,616]"
1779182851942,86,"[680,680,680,680,680,672,672,665,658,658,643,636,623,623,623,623,623,616,616,616]"
1779182851444,86,"[680,680,680,680,672,672,665,658,658,643,636,623,623,623,623,623,616,616,616,616]"
1779182850945,86,"[680,680,680,672,672,665,658,658,643,636,623,623,623,623,623,616,616,616,616,616]"
1779182850446,86,"[680,680,672,672,665,658,658,643,636,623,623,623,623,623,616,616,616,616,616,616]"
1779182849947,86,"[680,672,672,665,658,658,643,636,623,623,623,623,623,616,616,616,616,616,616,616]"
1779182849449,87,"[672,672,665,658,658,643,636,623,623,623,623,623,616,616,616,616,616,616,616,623]"
1779182848950,87,"[672,665,658,658,643,636,623,623,623,623,623,616,616,616,616,616,616,616,623,623]"
1779182848452,88,"[665,658,658,643,636,623,623,623,623,623,616,616,616,616,616,616,616,623,623,623]"
1779182847952,89,"[658,658,643,636,623,623,623,623,623,616,616,616,616,616,616,616,623,623,623,623]"
1779182847454,89,"[658,643,636,623,623,623,623,623,616,616,616,616,616,616,616,623,623,623,623,616]"
1779182846955,91,"[643,636,623,623,623,623,623,616,616,616,616,616,616,616,623,623,623,623,616,616]"
1779182846456,92,"[636,623,623,623,623,623,616,616,616,616,616,616,616,623,623,623,623,616,616,616]"
1779182845957,94,"[623,623,623,623,623,616,616,616,616,616,616,616,623,623,623,623,616,616,616,616]"
1779182845459,94,"[623,623,623,623,616,616,616,616,616,616,616,623,623,623,623,616,616,616,616,616]"
1779182844461,94,"[623,623,623,616,616,616,616,616,616,616,623,623,623,623,616,616,616,616,616,616]"
1779182843962,94,"[623,623,616,616,616,616,616,616,616,623,623,623,623,616,616,616,616,616,616,616]"
1779182843474,94,"[623,616,616,616,616,616,616,616,623,623,623,623,616,616,616,616,616,616,616,616]"
1779182842965,95,"[616,616,616,616,616,616,616,623,623,623,623,616,616,616,616,616,616,616,616,616]"
1779182842466,95,"[616,616,616,616,616,616,623,623,623,623,616,616,616,616,616,616,616,616,616,616]"
1779182841967,95,"[616,616,616,616,616,623,623,623,623,616,616,616,616,616,616,616,616,616,616,616]"
1779182841468,95,"[616,616,616,616,623,623,623,623,616,616,616,616,616,616,616,616,616,616,616,616]"
1779182840970,95,"[616,616,616,623,623,623,623,616,616,616,616,616,616,616,616,616,616,616,616,616]"
1779182840471,95,"[616,616,623,623,623,623,616,616,616,616,616,616,616,616,616,616,616,616,616,616]"
1779182839972,95,"[616,623,623,623,623,616,616,616,616,616,616,616,616,616,616,616,616,616,616,623]"
